Name,Description,Years lived,Name,Description,Years lived,Name,Description,Years lived
Zwentibold,Frankish son of Arnulf of Carinthia,30,Pope Alexander VI,,72,Lorenzo de' Medici,Italian politician,43
Huldrych Zwingli,Swiss pastor and theologian,47,Magnus I,Duke of Saxe-Lauenburg,55,Margaret Leijonhufvud,Swedish wife of Gustav I of Sweden,35
Friedrich Spanheim,Dutch theologian and academic,49,Christoph Bernhard,German composer and theorist,64,Emperor Go-Sai of Japan,,47
Arnold Drakenborch,Dutch scholar and author,64,Soame Jenyns,"English author, poet, and politician",83,Johann Heinrich Hartmann Bätz,German-Dutch organ builder,61
Giovanni Battista Mancini,Italian soprano and author,86,Kristijonas Donelaitis,Lithuanian pastor and poet,66,Paul Revere,American silversmith and engraver,83
Frederick Muhlenberg,"American minister and politician, 1st Speaker of the United States House of Representatives",51,Betsy Ross,"American seamstress, designed the Flag of the United States",84,Maria Edgeworth,English-Irish author,81
William Clowes,English publisher,68,Guglielmo Libri Carucci dalla Sommaja,Italian mathematician and academic,66,Lionel Kieseritzky,Estonian-French chess player,47
Arthur Hugh Clough,English-Italian poet and academic,42,Sándor Petőfi,Hungarian poet and activist,26,Robert Lawson,"Scottish-New Zealand architect, designed the Otago Boys' High School and Knox Church",69
Ouida,English-Italian author and activist,69,John W. Goff,Irish-American lawyer and politician,76,Eugène-Anatole Demarçay,French chemist and academic,52
Thibaw Min,Burmese king,57,John Cassidy,Irish sculptor and painter,79,Dan Katchongva,American tribal leader and activist,112
Jan Vilímek,Czech illustrator and painter,78,Pierre de Coubertin,"French historian and educator, founded the International Olympic Committee",74,Alfred Stieglitz,American photographer and curator,82
Mary Ackworth Evershed,English astronomer and Dante scholar,82,Lew Fields,"American actor, producer, and manager",74,Snitz Edwards,Hungarian-American actor,69
Mariano Azuela,Mexican physician and author,79,Frank Knox,"American publisher and politician, 46th United States Secretary of the Navy",70,Gustave Whitehead,German-American pilot and engineer,53
Agner Krarup Erlang,"Danish mathematician, statistician, and engineer",51,E. M. Forster,English author and playwright,91,William Fox,"Hungarian-American screenwriter and producer, founded the Fox Film Corporation and Fox Theatres",73
William J. Donovan,"American general, lawyer, and politician",76,Chikuhei Nakajima,"Japanese lieutenant, engineer, and politician, founded Nakajima Aircraft Company",65,Béla Balogh,"Hungarian actor, director, and screenwriter",60
John Garand,"Canadian-American engineer, designed the M1 Garand rifle",86,Georgios Stanotas,Greek general,77,Charles Bickford,American actor,78
Sampurnanand,"Indian educator and politician, 3rd Governor of Rajasthan",78,Mahadev Desai,Indian author and activist,50,Artur Rodziński,Polish-American conductor,66
Mordechai Frizis,Greek colonel,47,Satyendra Nath Bose,Indian physicist and mathematician,80,Iván Petrovich,Serbian-German actor and singer,68
Xavier Cugat,Spanish-American singer-songwriter and actor,90,Chiune Sugihara,Japanese soldier and diplomat,86,Buster Nupen,South African cricketer and lawyer,75
Stanisław Mazur,Ukrainian-Polish mathematician and theorist,76,Kinue Hitomi,Japanese sprinter and long jumper,24,Bill Tapia,American singer and guitarist,103
Dattaram Hindlekar,Indian cricketer,40,Stepan Bandera,Ukrainian soldier and politician,50,Koesbini,Indonesian composer,81
Basil Dearden,"English director, producer, and screenwriter",60,Hank Greenberg,American baseball player and lieutenant,75,Necdet Kent,Turkish diplomat,91
Boris Vladimirovich Gnedenko,Russian mathematician and historian,83,Kim Philby,British spy,76,Nikiforos Vrettakos,Greek poet and academic,79
Patrick Anthony Porteous,"Scottish colonel, Victoria Cross recipient",82,Ed Price,"American soldier, pilot, and politician",94,Rocky Graziano,American boxer and actor,71
J. D. Salinger,American soldier and author,91,Yoshio Tabata,Japanese singer-songwriter and guitarist,94,Osvaldo Cavandoli,Italian cartoonist,87
Ismail al-Faruqi,Palestinian-American philosopher and academic,65,César Baldaccini,French sculptor and academic,77,Regina Bianchi,Italian actress,92
Ernest Hollings,"American soldier and politician, 106th Governor of Sout",1922 -,Roz Howard,American race car driver,91,Jerry Robinson,American illustrator,89
